CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-0001-42,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22603791,ZUHILEM YESENIA ESTRADA ORTIZ,MARIBLE ARGENTINA MAJANO ECHEVERRIA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0002-43,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22603601,ZUHILEM YESENIA ESTRADA ORTIZ,BERLY MARISOL MORALES OCHOA,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0003-45,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22604386,ZUHILEM YESENIA ESTRADA ORTIZ,INGRID ABIGAIL SANABRIA BONILLA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0017-45,01-318,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,LESLIE AZUCENA MONZON TECUN,LETICIA YANETH BERGANZA BETANCOURTH DE CASTILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0020-45,01-627,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,ISAURA AMPARO RECINOS CARRILLO,VICTOR AMNUEL PORTILLO LEON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-01-0021-45,01-627,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,ISAURA AMPARO RECINOS CARRILLO,VICTOR MANUEL PORTILLO LEON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-01-0022-46,01-627,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,ISAURA AMPARO RECINOS CARRILLO,VICTOR MANUEL PORTILLO LEON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-01-0023-46,01-627,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,ISAURA AMPARO RECINOS CARRILLO,VICTOR MANUEL PORTILLO LEON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-01-1145-42,01-106,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.613 MARIO MENDEZ MONTENEGRO,ZONA 17 ALDEA SANTA LUCIA LOS OCOTES,56507848,CESAR ARNOLDO MARTINEZ GARCIA,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1146-42,01-104,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.607,KM.10 RUTA AL ATLANTICO ALDEA EL BEBEDERO,22608008,ISRAEL PORTILLO HERNANDEZ,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1160-42,01-208,GUATEMALA,GUATEMALA,EPDP ANEXA A CENTRO EDUCATIVO 'EMILENO',3A AVE. 7-33 COLONIA VASQUEZ ALDEA GUAJITOS,24488335,LILIAN NINETH TEOS REYES,,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1162-42,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,2A. AVENIDA 3-16 ALDEA GUAJITOS,24495027,ADRIANA FABIOLA BOLANOS ESTRADA,,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1198-43,01-105,GUATEMALA,GUATEMALA,EORM NO.612,CANTON LOURDES ALDEA CANALITOS ZONA 17,52779049,SANTOS VICTORINO VASQUEZ PAXTOR,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1208-43,01-505,GUATEMALA,GUATEMALA,EORM NO.616 'AMERICANA',ZONA 16 ALDEA CONCEPCION LAS LOMAS,59183717,MARIA TERESA MILIAN AVILES,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1215-43,01-210,GUATEMALA,GUATEMALA,EOUM NO.456 CANADA,3A. CALLE 2-61 ZONA 12 COLONIA GUAJITOS,24774332,DINIZ ORALIA MORALES MUNOZ,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1231-43,01-635,GUATEMALA,GUATEMALA,EPRM COLEGIO JUAN MARCOS,"1A.CALLE Y 1A.. AVENIDA ZONA 21 LOMA BLANCA, COLONIA GUAJITOS",24494835,JULIO PEREZ GUTIERREZ,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1233-43,01-208,GUATEMALA,GUATEMALA,EPRM CENTRO EDUCATIVO 'EMILENO',3A AVE. 7-33 COLONIA VASQUEZ ALDEA GUAJITOS,24488335,LILIAN NINETH TEOS REYES,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1237-43,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,CALZADA JUSTO RUFINO BARRIOS 4-21 ALDEA GUAJITOS,24795027,ADRIANA FABIOLA BOLANOS ESTRADA,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2331-45,01-635,GUATEMALA,GUATEMALA,INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA JUAN MARCOS,1A. AVENIDA Y 1A. CALLE ZONA 21 LOMA BLANCA COLONIA GUAJITOS,24494835,JULIO PEREZ GUTIERREZ,,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2603-45,01-106,GUATEMALA,GUATEMALA,COLEGIO MIXTO 'JUVENTUD ACTIVA',KM 15 RUTA AL ATLANTICO COLONIA SAN PASCUAL II LOTE 6 Y 12 ZONA 18,22554550,CESAR ARNOLDO MARTINEZ GARCIA,,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2604-42,01-105,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,LOTE 13 MANZANA 57 2-17 CANTON EL PORVENIR CANALITOS,54647521,SANTOS VICTORINO VASQUEZ PAXTOR,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2605-43,01-105,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,"LOTE 13 MANZANA 57 CANTON PORVENIR, CANALITOS ZONA 17",54647521,SANTOS VICTORINO VASQUEZ PAXTOR,,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2814-45,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,CALZADA JUSTO RUFINO BARRIOS 4-21 GUAJITOS ZONA12,24795027,ADRIANA FABIOLA BOLANOS ESTRADA,,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2839-43,01-106,GUATEMALA,GUATEMALA,COLEGIO PRIVADO MIXTO 'BOSQUE DEL QUETZAL',KM.16.5 RUTA AL ATLANTICO LOTE 1 SECCION'A.COL.SANTA DELFINA ZONA 17,22596263,CESAR ARNOLDO MARTINEZ GARCIA,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2907-45,01-105,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,"LOTE 13 MANZANA 57, CANALITOS ZONA 17",57285158,SANTOS VICTORINO VASQUEZ PAXTOR,,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-6252-43,01-106,GUATEMALA,GUATEMALA,COLEGIO MIXTO LATINOAMERICANO,"LOTE 40 RESIDENCIALES HERMANO PEDRO ZONA 17, KM. 14.5",22555497,CESAR ARNOLDO MARTINEZ GARCIA,,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-6585-42,01-105,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.612,CANTON LOURDES ALDEA CANALITOS,42162504,SANTOS VICTORINO VASQUEZ PAXTOR,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-7602-45,01-106,GUATEMALA,GUATEMALA,INEB DE TELESECUNDARIA,ALDEA LA CEBADILLA ZONA 17,41958053,CESAR ARNOLDO MARTINEZ GARCIA,,BASICO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-8208-46,,GUATEMALA,GUATEMALA,INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACION (POR MADUREZ),6AV. 18-23 ZONA 1,22322912,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,SABATINO,GUATEMALA NORTE
01-02-0001-42,01-510,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO CRISTIANO KAIROS,"2A. CALLE 2-17, SECTOR II, ZONA 3, ALDEA EL PUEBLITO",23660150,ZOILA ESPERANZA CAMEY ATZ,KEILY MARILU MORAN DE MONTERROSO,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0002-43,01-510,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO CRISTIANO KAIROS,"2A. CALLE 2-17, SECTOR II, ZONA 3, ALDEA EL PUEBLITO",23660150,ZOILA ESPERANZA CAMEY ATZ,ADA DINORA PALACIOS SOTO,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0003-45,01-510,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO CRISTIANO KAIROS,"2A. CALLE 2-17, SECTOR II, ZONA 3, ALDEA EL PUEBLITO",23660150,ZOILA ESPERANZA CAMEY ATZ,JOSE ADRIAN MORALES ORTIZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0004-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO KING DAVID,"KM. 18..5 CARRETERA A EL SALVADOR ALDEA EL CANCHON, LA LABOR DE MONZON, L. 3, Z. 8",66611170,JULIA ENECON ROCA MORAN,MATILDE ELIZABETH CAMPOS MORALES DE SANTOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
