CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0106-46,08-001,TOTONICAPAN,TOTONICAPAN,ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77661038.0,MIGUEL AJPOP VASQUEZ,OTTO GILBERTO AMADO TELLO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0107-46,08-024,TOTONICAPAN,TOTONICAPAN,"COLEGIO MIXTO PARTICULAR ""JUAN FRANKLIN""",3A CALLE 12-08 ZONA 2,77661920.0,MIGUEL AJPOP VASQUEZ,JOSE LUIS IXCAQUIC AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0201-46,08-023,TOTONICAPAN,TOTONICAPAN,INSTITUTO NACIONAL DE EDUCACION CICLO DIVERSIFICADO,"PARAJE XECOXOM I, ALDEA PAXTOCA",45293003.0,---------------------------- ----------------------------------,BENJAMIN RAFAEL TZUNUN CUA,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0203-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184.0,MIGUEL AJPOP VASQUEZ,NICOLAS IGNACIO AJUCUM LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0212-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO EL SHADAI,"8A CALLE 5-00, ZONA 4,",59238825.0,MIGUEL AJPOP VASQUEZ,JESUS CRISTINA LOPEZ TZOC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0214-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184.0,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUAREZ RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0217-46,08-003,TOTONICAPAN,TOTONICAPAN,"INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA, K AK NO JIB AL",ALDEA CHUATROJ,57377254.0,GLADYS ESPERANZA PACHECO GUTIERREZ,VICTOR FELIPE BAQUIAX PUAC,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0222-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1 TOTONICAPAN,77667184.0,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUAREZ RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPAN
08-01-0227-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO PREUNIVERSITARIO JERUSALEN,"PARAJE XENAJTAJUYUP, CANTON CHIYAX",47047663.0,MIGUEL AJPOP VASQUEZ,JESUS ENCARNACION PUAC CHAMORRO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0229-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA SEMILLA,"11 AVENIDA 2-40 ZONA 2, TOTONICAPAN",77667181.0,MIGUEL AJPOP VASQUEZ,KARLA ISELA LOPEZ BULUX,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0232-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPAN,"9 CALLE ""A"" 08-043 ZONA 3",56769964.0,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPAN
08-01-0233-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPAN,"9 CALLE ""A"" 08-043 ZONA 3",56769964.0,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPAN
08-01-0237-46,08-001,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520.0,MIGUEL AJPOP VASQUEZ,PATROCINIO ABELINO TZUL BARRENO,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,TOTONICAPAN
08-01-0238-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520.0,MIGUEL AJPOP VASQUEZ,PATROCINIO ABELINO TZUL BARRENO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPAN
